skill_id,skill_title,skill_source,duplicated,dup_parent,dup_parent_id,time_added
0cf41d5fc9dec4786129b7ae1435e289873181cf077562c8723cbe9c552a91b4,technical writing,SFw TSC,0,NA,NA,3/8/2022 14:43
0d165a69f677e7a3161c653e26e062ce37c77e7d56cf9a3e373bd5d63f23993d,Java Message Service,Apps and Tools,0,NA,NA,3/8/2022 14:43
0d19f10e21f913ef046eeaf92d2cb3b522b8bd9c93e1b97f7118d38de1b474e6,ClearQuest,Apps and Tools,0,NA,NA,3/8/2022 14:43
0d28980c1cc8efc1476e83f955a2d7b843c4edce900fda5962a52f90b6c49f31,aircraft electrical systems maintenance,SFw TSC,0,NA,NA,3/8/2022 14:43
0d5a011050205b392ce21075879cfcdeb36ffe7affc285b6b3f0a15e62f79525,Collaboration,SFw CCS,0,NA,NA,3/8/2022 14:43
0d67114bc4ed852c128efb9786bb9b34313cd895c641310a8f54388e0e4b35b0,Cloud Foundry,Apps and Tools,0,NA,NA,3/8/2022 14:43
0d7e11e9e3f966961ecb88c94b9c4b8c6905b20726f626551a5982ac199429c3,aircraft cruise operations,SFw TSC,0,NA,NA,3/8/2022 14:43
0d857f8cf2d76abb44370f6a638a321562a47e92a35284ada91d8f25cacb986c,Next.Js,Apps and Tools,0,NA,NA,3/8/2022 14:43
0d87d93a922e5b0c0cd95836d59015464d5c5f6e80ff8b1122ba6adc336c5ee1,electricity network incident management,SFw TSC,0,NA,NA,3/8/2022 14:43
0d8f0b943f2f5e6f66b68b5642fbb2a53d15346cd28ad3c4684b3d184d791aee,wealth planning administration,SFw TSC,0,NA,NA,3/8/2022 14:43
0d929e38cc67ee77d345da5df76cbb845e7c6d8fe16c892042f0514fb8d38922,chinese moist-heat dish preparation and cooking,SFw TSC,0,NA,NA,3/8/2022 14:43
0d9ab63709cb85b780d5c35721d1a9209526e39f6bb2d1e905ac8b4fd2a38727,data and statistical analytics,SFw TSC,1,data and statistical analysis,f3ece3e9ac2f208c99abf380c8051100932c32c8ef9be40a443182aeccc59861,3/8/2022 14:43
0d9ffe27616e27d7557104fd23d9c06602180f2b1483c12723e0771794bbcd5d,workplace safety and health for marine electrical installation,SFw TSC,0,NA,NA,3/8/2022 14:43
0da81f32aa2410c43f1956d8bafae1ac82e7e7434b7e227ea35efb383df902c5,electricity network planning,SFw TSC,0,NA,NA,3/8/2022 14:43
0dd4a210f0fe7dc5f0cdff3ede5387d394c9b3d2790d65bba106411c244f1af5,warehousing / cargo-related occupational health and safety management,SFw TSC,0,NA,NA,3/8/2022 14:43
0dd6566ace51c849af30494fd61aec759df18d78ef73b7ded5e5d6a2c032278b,data visualisation and storyboarding,SFw TSC,1,data storytelling and visualisation,51f7f2846ed141defda0b9cc0645cb131bac6e7e8bf2da3dc69b0481ca86687a,19/8/2022 2:32
0df178fa00864121436764db9ac9370b373a67b859d306fe96b7f8d1176045cc,RequireJS,Apps and Tools,0,NA,NA,3/8/2022 14:43
0df18eef246f41492d630db55380fab13dbbd03876b3b911200317f3fa0be7a7,one-stop service delivery,SFw TSC,0,NA,NA,3/8/2022 14:43
0e3085550c59d91a9d9279f0d01807ef80062353fdfadc7721ac6498eca2047e,proposal writing development,SFw TSC,1,proposal writing,fa84d10097ab0fa9ec5c4017e72afd8167152661018e88768a4ef0b037f4065b,3/8/2022 14:43
